i,Pref[i],Char[i],Used[i]
1223,277,103,6
1224,835,13,2
1225,1024,32,2
1226,727,101,57
1227,277,112,7
1228,1085,114,25
1229,911,44,1
1230,963,114,1
1231,681,119,3
1232,1107,108,7
1233,111,99,4
1234,823,101,2
1235,1031,44,4
1236,1199,115,5
1237,375,97,12
1238,547,112,1
1239,115,111,39
1240,311,110,9
1241,321,105,1
1242,947,114,3
1243,313,112,2
1244,985,121,3
1245,124,105,4
1246,523,113,1
1247,116,117,18
1248,120,97,6
1249,456,101,36
1250,620,44,1
1251,1109,105,1
1252,1132,101,6
1253,732,98,1
1254,1062,101,7
1255,377,116,11
1256,976,104,4
1257,440,103,4
1258,106,105,4
1259,337,108,2
1260,111,115,10
1261,1149,111,5
1262,311,32,16
1263,415,110,3
1264,584,32,7
1265,393,116,4
1266,399,107,4
1267,867,97,12
1268,714,118,2
1269,121,97,8
1270,398,97,1
1271,100,103,12
1272,943,111,3
1273,948,108,1
1274,402,116,14
1275,827,32,12
1276,353,110,24
1277,1056,116,22
1278,905,101,4
1279,104,118,20
1280,630,110,16
1281,900,110,5
1282,616,44,3
1283,953,10,9
1284,693,77,8
1285,680,101,24
1286,788,89,6
1287,684,78,9
1288,686,78,9
1289,81,83,21
1290,688,58,11
1291,690,13,7
1292,692,97,1
1293,964,104,2
1294,1180,101,18
1295,1002,32,13
1296,1155,111,2
1297,114,100,27
1298,446,116,10
1299,332,109,5
1300,511,46,7
1301,497,32,10
1302,668,76,1
1303,79,97,3
1304,1249,114,6
1305,313,105,5
1306,352,116,10
1307,1278,118,2
1308,1280,105,1
1309,333,44,4
1310,833,121,12
1311,1140,97,5
1312,894,32,14
1313,1146,116,1
1314,925,44,3
1315,1109,101,5
1316,613,116,15
1317,615,103,13
1318,334,108,2
1319,402,105,3
1320,108,100,21
1321,1114,32,6
1322,1154,111,1
1323,1196,118,2
1324,595,111,3
1325,311,115,13
1326,118,108,3
1327,286,44,2
1328,833,13,5
1329,260,104,5
1330,1180,105,2
1331,523,97,5
1332,355,103,5
1333,937,111,5
1334,1297,32,4
1335,270,105,7
1336,108,109,12
1337,1300,32,3
1338,918,105,1
